crop,state_name,district_name,crop_year,season,area_ha,nitrogen,phosphorous,potassium,temperature_c,humidity,ph,rainfall_mm,moisture,price_per_ton,target_yield_t_ha
Grapes,Andhra Pradesh,ANANTAPUR,2003,Whole Year,118.0,33.31,114.25,169.33,10.42,75.65,6.62,101.75,32.91,30001.05,10.236
Mango,Andhra Pradesh,ANANTAPUR,2003,Whole Year,3935.0,25.58,37.95,42.51,30.58,55.92,5.47,120.75,22.07,28001.06,8.671
Orange,Andhra Pradesh,ANANTAPUR,2003,Whole Year,13441.0,22.56,28.52,29.75,29.26,84.53,5.31,125.53,26.36,25001.07,14.915
Papaya,Andhra Pradesh,ANANTAPUR,2003,Whole Year,1381.0,74.14,71.56,54.72,37.79,85.11,7.01,20.0,13.39,16001.08,25.236
Maize,Andhra Pradesh,ANANTAPUR,2004,Kharif,3495.0,72.85,68.24,26.72,28.32,79.46,6.33,157.7,29.33,20001.09,6.129
Rice,Andhra Pradesh,ANANTAPUR,2004,Kharif,24335.0,68.75,72.61,32.95,23.05,77.75,6.57,234.74,25.08,23691.94,4.23
Blackgram,Andhra Pradesh,ANANTAPUR,2004,Kharif,76.0,83.14,93.53,24.77,31.25,63.25,5.94,121.43,18.96,81579.82,0.851
Maize,Andhra Pradesh,ANANTAPUR,2004,Rabi,3572.0,55.2,61.28,32.2,19.35,66.95,6.02,101.01,24.0,20001.12,5.007
Rice,Andhra Pradesh,ANANTAPUR,2004,Rabi,9240.0,66.69,68.0,42.77,29.64,75.53,6.51,226.06,38.91,28478.75,3.54
Banana,Andhra Pradesh,ANANTAPUR,2004,Whole Year,324.0,98.76,76.43,43.94,28.33,78.14,6.12,123.82,23.4,18001.14,30.7
Coconut,Andhra Pradesh,ANANTAPUR,2004,Whole Year,837.0,48.89,41.43,40.91,29.33,85.48,5.85,87.15,19.9,70001.15,6.45
Maize,Andhra Pradesh,ANANTAPUR,2005,Kharif,5958.0,95.76,61.73,33.31,28.63,76.79,5.75,135.8,29.85,20001.16,5.006
Rice,Andhra Pradesh,ANANTAPUR,2005,Kharif,25008.0,72.22,56.82,41.72,25.27,78.8,6.11,230.61,31.66,25650.87,4.761
Blackgram,Andhra Pradesh,ANANTAPUR,2005,Kharif,69.0,58.97,67.21,37.53,31.17,68.71,7.1,112.87,16.0,81289.98,0.745
Maize,Andhra Pradesh,ANANTAPUR,2005,Rabi,1435.0,74.51,73.54,25.49,24.8,58.61,5.72,107.49,22.23,20001.19,3.973
Rice,Andhra Pradesh,ANANTAPUR,2005,Rabi,23142.0,54.8,60.73,44.07,23.84,73.02,4.91,223.02,33.13,26727.7,5.006
Blackgram,Andhra Pradesh,ANANTAPUR,2005,Rabi,11.0,50.16,75.24,30.98,25.5,61.71,6.75,80.43,23.29,82001.21,1.284
Banana,Andhra Pradesh,ANANTAPUR,2005,Whole Year,303.0,37.49,90.76,54.85,28.45,71.09,5.87,150.13,29.9,18001.22,24.656
Coconut,Andhra Pradesh,ANANTAPUR,2005,Whole Year,836.0,17.51,6.97,35.59,30.67,77.92,6.05,124.54,21.93,70001.23,5.38
Maize,Andhra Pradesh,ANANTAPUR,2006,Kharif,4877.0,85.39,48.43,17.82,23.03,81.21,4.65,127.01,22.3,20001.24,3.513
Rice,Andhra Pradesh,ANANTAPUR,2006,Kharif,22349.0,66.31,62.78,49.62,27.43,80.46,4.5,282.39,30.65,24259.8,3.453
Blackgram,Andhra Pradesh,ANANTAPUR,2006,Kharif,69.0,41.38,80.25,28.53,24.36,67.01,7.12,109.57,19.31,82001.26,1.04
Maize,Andhra Pradesh,ANANTAPUR,2006,Rabi,3120.0,65.98,85.82,33.98,23.68,83.31,5.92,69.0,27.09,20001.27,3.282
Rice,Andhra Pradesh,ANANTAPUR,2006,Rabi,10846.0,113.12,66.3,38.7,28.4,72.05,5.91,245.33,25.05,26436.32,4.897
Blackgram,Andhra Pradesh,ANANTAPUR,2006,Rabi,24.0,41.03,65.86,29.53,28.69,60.34,6.93,75.69,13.35,82001.29,0.881
Banana,Andhra Pradesh,ANANTAPUR,2006,Whole Year,289.0,68.87,97.71,60.63,30.57,70.52,6.39,126.61,17.88,18001.3,27.129
Coconut,Andhra Pradesh,ANANTAPUR,2006,Whole Year,790.0,26.36,35.3,38.34,33.26,91.28,5.11,183.62,30.31,70001.31,8.919
Maize,Andhra Pradesh,ANANTAPUR,2007,Kharif,7000.0,49.5,62.5,26.03,24.83,79.77,6.09,135.96,19.26,20001.32,6.159
Rice,Andhra Pradesh,ANANTAPUR,2007,Kharif,30000.0,65.07,67.57,37.38,31.02,79.34,6.34,217.42,28.03,25847.27,5.146
Maize,Andhra Pradesh,ANANTAPUR,2007,Rabi,6000.0,70.17,59.34,26.57,32.55,43.68,6.86,125.24,16.14,20001.34,6.092
Rice,Andhra Pradesh,ANANTAPUR,2007,Rabi,14000.0,72.43,64.45,45.05,22.62,73.45,7.59,203.11,25.54,27070.89,5.399
Maize,Andhra Pradesh,ANANTAPUR,2008,Kharif,6041.0,72.77,50.28,27.01,22.92,53.96,6.72,131.06,20.84,20001.36,3.774
Rice,Andhra Pradesh,ANANTAPUR,2008,Kharif,30306.0,82.28,47.19,44.38,23.66,82.58,6.36,289.98,45.25,26895.18,4.213
Maize,Andhra Pradesh,ANANTAPUR,2008,Rabi,3658.0,56.38,63.98,29.99,21.99,70.46,5.89,129.29,26.14,20001.38,4.915
Rice,Andhra Pradesh,ANANTAPUR,2008,Rabi,18416.0,76.96,44.95,39.74,25.24,76.07,7.18,133.45,20.69,24163.5,2.508
Banana,Andhra Pradesh,ANANTAPUR,2008,Whole Year,3603.0,93.51,88.02,41.44,29.62,72.33,6.73,108.88,22.83,18001.4,33.199
Coconut,Andhra Pradesh,ANANTAPUR,2008,Whole Year,786.0,37.41,36.62,38.5,30.79,84.98,6.67,111.73,28.31,70001.41,8.416
Maize,Andhra Pradesh,ANANTAPUR,2009,Kharif,8852.0,61.66,38.94,26.85,22.61,74.06,5.62,150.77,22.11,20001.42,5.139
Rice,Andhra Pradesh,ANANTAPUR,2009,Kharif,32226.0,85.27,66.86,45.59,30.2,74.31,5.7,300.0,34.04,25104.8,5.301
Blackgram,Andhra Pradesh,ANANTAPUR,2009,Kharif,30.0,10.0,52.39,28.67,26.84,74.23,6.79,110.33,19.6,70948.2,1.226
Maize,Andhra Pradesh,ANANTAPUR,2009,Rabi,4615.0,63.43,46.42,36.57,27.29,57.62,4.99,89.19,23.64,20001.45,6.32
Rice,Andhra Pradesh,ANANTAPUR,2009,Rabi,19428.0,95.99,46.43,48.64,17.3,71.47,7.76,200.1,33.18,26349.54,4.463
Blackgram,Andhra Pradesh,ANANTAPUR,2009,Rabi,17.0,67.84,76.14,19.52,24.31,62.72,7.13,60.15,17.86,82001.47,1.17
Banana,Andhra Pradesh,ANANTAPUR,2009,Whole Year,5010.0,64.9,81.65,57.28,29.97,76.43,6.0,133.11,22.76,18001.48,29.855
Coconut,Andhra Pradesh,ANANTAPUR,2009,Whole Year,725.0,10.0,26.93,35.7,29.91,78.81,6.15,180.26,30.41,70001.49,9.08
Maize,Andhra Pradesh,ANANTAPUR,2010,Kharif,10726.0,53.66,75.7,18.44,27.98,72.77,6.32,154.03,23.7,20001.5,3.527
Rice,Andhra Pradesh,ANANTAPUR,2010,Kharif,34973.0,21.14,64.48,41.78,26.55,76.95,4.5,233.63,28.03,25513.14,4.634
Blackgram,Andhra Pradesh,ANANTAPUR,2010,Kharif,14.0,47.28,92.78,26.96,29.17,69.1,7.71,110.32,22.69,82001.52,1.322
Maize,Andhra Pradesh,ANANTAPUR,2010,Rabi,4750.0,76.28,59.73,26.2,25.16,62.16,6.27,79.81,18.78,20001.53,6.8
Rice,Andhra Pradesh,ANANTAPUR,2010,Rabi,24828.0,59.74,46.1,44.79,23.79,74.3,7.74,214.76,35.12,23007.29,5.669
Blackgram,Andhra Pradesh,ANANTAPUR,2010,Rabi,559.0,33.65,80.87,25.74,24.92,61.43,7.07,71.29,26.04,78120.7,1.384
Banana,Andhra Pradesh,ANANTAPUR,2010,Whole Year,4416.0,71.7,73.41,55.97,23.33,79.65,5.57,131.94,26.88,18001.56,31.386
Maize,Andhra Pradesh,ANANTAPUR,2011,Kharif,25447.0,50.03,46.51,35.83,29.76,62.51,6.2,90.68,23.66,20001.57,5.008
Rice,Andhra Pradesh,ANANTAPUR,2011,Kharif,37720.0,100.41,43.78,41.37,33.3,82.13,5.31,234.58,31.68,25413.32,3.063
Blackgram,Andhra Pradesh,ANANTAPUR,2011,Kharif,32.0,41.8,51.18,28.33,32.84,66.18,6.22,121.84,25.37,79398.16,0.916
Maize,Andhra Pradesh,ANANTAPUR,2011,Rabi,6208.0,53.68,50.83,35.65,19.74,67.02,6.11,81.12,22.51,20001.6,3.642
Rice,Andhra Pradesh,ANANTAPUR,2011,Rabi,10948.0,29.73,47.85,42.67,19.56,73.01,5.7,300.0,26.43,26348.43,2.326
Blackgram,Andhra Pradesh,ANANTAPUR,2011,Rabi,446.0,41.34,46.79,32.96,35.62,57.24,6.89,79.92,19.33,82001.62,0.6
Banana,Andhra Pradesh,ANANTAPUR,2011,Whole Year,8000.0,91.48,85.35,49.09,28.52,74.71,5.91,139.26,20.54,18001.63,19.095
Coconut,Andhra Pradesh,ANANTAPUR,2011,Whole Year,895.0,56.84,52.47,38.02,26.66,85.69,6.04,197.81,30.79,70001.64,8.102
Grapes,Andhra Pradesh,ANANTAPUR,2012,Kharif,238.0,10.0,110.23,166.18,10.0,79.6,5.58,120.28,26.23,30001.65,19.127
Maize,Andhra Pradesh,ANANTAPUR,2012,Kharif,22039.0,69.93,42.38,29.02,27.3,59.7,6.61,105.06,19.57,20001.66,4.063
Mango,Andhra Pradesh,ANANTAPUR,2012,Kharif,6276.0,33.96,52.87,43.52,40.0,48.49,6.2,135.09,17.19,28001.67,7.48
Papaya,Andhra Pradesh,ANANTAPUR,2012,Kharif,447.0,35.36,47.62,53.11,28.96,93.91,6.49,220.52,27.81,16001.68,38.089
Rice,Andhra Pradesh,ANANTAPUR,2012,Kharif,22056.0,71.23,44.61,47.91,25.2,82.39,7.74,264.71,23.01,23847.06,4.565
Blackgram,Andhra Pradesh,ANANTAPUR,2012,Kharif,31.0,43.42,56.44,29.09,35.85,57.18,6.67,122.16,20.6,74819.02,0.945
Maize,Andhra Pradesh,ANANTAPUR,2012,Rabi,7070.0,47.51,62.62,24.4,22.73,61.55,6.57,81.71,20.13,20001.71,2.5
Rice,Andhra Pradesh,ANANTAPUR,2012,Rabi,6998.0,72.88,57.82,46.93,18.29,68.32,7.23,192.07,29.23,25500.71,4.135
