crop,state_name,district_name,crop_year,season,area_ha,nitrogen,phosphorous,potassium,temperature_c,humidity,ph,rainfall_mm,moisture,yield_t_ha
Coconut,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year,14358.0,44.36,25.13,30.09,27.52,82.11,6.17,226.21,30.02,4134.977
Rice,Andaman and Nicobar Islands,NICOBARS,2010,Autumn,3.5,73.76,69.64,38.95,26.35,72.27,5.98,221.45,24.5,2.857
Maize,Andaman and Nicobar Islands,NICOBARS,2010,Rabi,3.84,45.63,46.34,17.33,19.22,73.57,7.12,123.13,25.57,4.745
Blackgram,Andaman and Nicobar Islands,NICOBARS,2010,Rabi,1.5,45.53,68.82,17.39,25.94,62.74,8.5,102.91,19.09,0.773
Banana,Andaman and Nicobar Islands,NICOBARS,2010,Whole Year,593.0,85.49,87.88,38.39,25.51,70.2,6.21,131.41,23.18,5.776
Coconut,Andaman and Nicobar Islands,NICOBARS,2010,Whole Year,14560.0,10.0,8.57,38.88,22.28,83.63,7.3,300.0,30.62,4896.978
Rice,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Kharif,10779.0,52.98,42.18,39.55,28.41,83.31,5.98,173.21,28.47,2.956
Banana,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year,1531.0,66.77,84.65,51.33,29.78,82.36,5.94,90.23,22.33,7.886
Coconut,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year,6992.0,38.09,28.54,23.53,27.01,94.1,5.99,157.72,23.2,3418.192
Rice,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Kharif,9718.0,56.05,45.84,35.81,27.24,82.31,6.81,193.8,31.03,2.782
Coconut,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Whole Year,7015.0,13.86,33.18,27.82,24.69,90.86,6.96,83.56,30.94,3599.43
Rice,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Kharif,6854.3,37.28,45.32,43.85,27.51,87.29,8.25,266.64,42.18,2.771
Banana,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year,957.57,85.57,63.88,51.22,27.79,84.0,6.08,116.33,30.44,8.962
Coconut,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year,3575.0,10.0,32.96,25.92,28.91,95.82,6.47,101.55,24.04,4307.692
Rice,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Autumn,6791.0,65.43,59.19,39.87,19.15,80.09,6.85,216.78,38.75,2.962
Maize,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi,86.7,68.72,39.9,30.09,25.96,71.54,5.7,83.97,28.28,1.112
Blackgram,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi,1059.5,17.44,63.11,17.8,29.61,67.24,6.06,40.44,27.07,0.433
Banana,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Whole Year,657.0,92.95,83.58,42.28,30.95,80.88,6.5,95.42,35.62,12.128
Coconut,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Whole Year,3668.0,10.0,28.83,35.62,24.75,85.52,5.53,112.97,29.43,3462.377
Rice,Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Kharif,10695.8,42.83,18.69,47.24,22.94,81.94,7.35,244.23,36.25,2.955
Banana,Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year,1524.0,91.28,72.3,59.07,26.65,79.78,5.89,144.0,31.36,7.14
Coconut,Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year,7060.0,10.0,5.0,35.7,30.42,85.97,6.05,228.0,38.14,3800.283
Rice,Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Kharif,10509.37,65.2,41.38,38.63,24.82,81.16,6.58,300.0,29.04,2.927
Banana,Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year,1530.0,90.84,70.75,43.53,31.02,75.83,5.5,129.62,23.12,7.554
Coconut,Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year,7110.0,32.38,36.23,40.79,24.48,92.44,5.86,219.35,35.24,3749.648
Rice,Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Kharif,10681.98,111.06,63.53,49.9,26.96,83.37,4.96,293.4,34.94,2.726
Banana,Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year,1912.1,55.74,54.6,50.23,28.38,84.36,6.4,121.31,28.9,9.087
Coconut,Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year,7156.7,32.5,24.66,39.24,30.58,80.57,6.03,300.0,35.54,4855.59
Rice,Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Kharif,8683.38,69.78,49.34,45.77,28.98,78.61,6.2,300.0,35.94,2.979
Banana,Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year,1656.8,88.69,83.62,43.01,27.67,66.65,5.26,162.54,30.04,6.187
Coconut,Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year,7050.45,14.93,55.21,38.95,26.33,90.41,4.97,161.44,30.87,3748.697
Rice,Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Kharif,921.87,87.6,58.38,41.48,30.33,83.84,4.83,235.25,38.13,2.755
Banana,Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year,483.0,112.27,68.46,53.73,32.21,75.05,5.61,128.27,27.7,8.592
Coconut,Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year,3483.09,15.02,38.83,31.91,27.62,79.44,5.54,215.23,29.99,4073.969
Rice,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Autumn,1595.5,56.02,59.34,52.42,27.3,78.36,6.19,300.0,34.04,2.374
Maize,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi,73.0,47.27,28.26,26.14,21.53,60.53,6.0,92.66,26.3,3.466
Blackgram,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi,34.0,44.05,62.99,24.68,27.25,62.32,6.18,89.1,15.65,0.443
Banana,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Whole Year,360.0,89.59,77.27,40.19,25.98,73.52,5.43,153.73,35.86,15.325
Coconut,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Whole Year,3540.0,58.78,13.37,41.79,32.53,80.15,5.17,185.37,26.88,3107.345
Maize,Andhra Pradesh,ANANTAPUR,1997,Kharif,2800.0,29.84,66.64,25.9,30.19,58.59,6.24,153.12,27.38,1.75
Rice,Andhra Pradesh,ANANTAPUR,1997,Kharif,35600.0,49.9,59.53,39.4,27.91,78.31,5.1,258.24,33.55,2.118
Maize,Andhra Pradesh,ANANTAPUR,1997,Rabi,600.0,45.56,53.26,30.53,18.72,62.42,5.84,65.88,27.7,4.0
Rice,Andhra Pradesh,ANANTAPUR,1997,Rabi,18000.0,114.12,57.43,37.22,23.3,72.23,6.72,122.28,28.19,2.072
Maize,Andhra Pradesh,ANANTAPUR,1998,Kharif,3300.0,64.69,80.77,31.16,26.15,65.61,6.86,93.99,23.67,2.03
Rice,Andhra Pradesh,ANANTAPUR,1998,Kharif,38300.0,96.37,48.42,48.99,29.12,78.4,6.48,300.0,32.86,2.527
Maize,Andhra Pradesh,ANANTAPUR,1998,Rabi,300.0,53.72,52.05,26.97,14.73,47.61,6.5,78.64,10.0,5.333
Rice,Andhra Pradesh,ANANTAPUR,1998,Rabi,26600.0,30.48,71.06,47.98,30.75,73.73,7.6,204.91,32.63,2.402
Maize,Andhra Pradesh,ANANTAPUR,1999,Kharif,3358.0,57.69,56.18,27.36,30.88,77.39,6.2,134.15,27.88,2.841
Rice,Andhra Pradesh,ANANTAPUR,1999,Kharif,37991.0,48.27,44.81,33.51,25.74,78.3,6.79,300.0,33.46,2.766
Blackgram,Andhra Pradesh,ANANTAPUR,1999,Kharif,4.0,62.09,65.4,23.0,35.77,65.87,7.18,116.87,26.34,0.5
Maize,Andhra Pradesh,ANANTAPUR,1999,Rabi,455.0,47.28,40.54,32.82,23.07,53.62,6.36,104.9,11.49,4.842
Rice,Andhra Pradesh,ANANTAPUR,1999,Rabi,20258.0,78.25,54.87,49.23,20.65,70.96,6.34,193.15,31.23,2.254
Maize,Andhra Pradesh,ANANTAPUR,2000,Kharif,3475.0,74.37,65.33,20.96,16.44,73.01,6.8,98.14,17.06,2.604
Rice,Andhra Pradesh,ANANTAPUR,2000,Kharif,39905.0,99.64,60.66,44.39,23.05,79.23,6.14,177.22,38.41,2.949
Blackgram,Andhra Pradesh,ANANTAPUR,2000,Kharif,135.0,57.5,83.62,29.22,35.8,67.0,7.56,119.96,25.09,0.059
Maize,Andhra Pradesh,ANANTAPUR,2000,Rabi,399.0,47.21,39.14,36.01,31.79,71.22,6.66,127.14,25.05,5.383
Rice,Andhra Pradesh,ANANTAPUR,2000,Rabi,22099.0,58.85,46.67,43.15,23.38,76.71,7.05,217.57,31.82,2.59
Blackgram,Andhra Pradesh,ANANTAPUR,2000,Rabi,363.0,18.98,66.11,27.39,22.87,60.68,7.41,62.69,20.37,0.804
Banana,Andhra Pradesh,ANANTAPUR,2000,Whole Year,769.0,81.31,69.43,44.58,30.72,76.32,6.76,133.6,25.71,15.205
Coconut,Andhra Pradesh,ANANTAPUR,2000,Whole Year,908.0,21.65,29.68,37.18,28.96,84.62,6.02,169.54,27.78,4291.817
Maize,Andhra Pradesh,ANANTAPUR,2001,Kharif,2667.0,64.1,72.62,24.98,19.73,56.5,6.46,143.68,23.54,2.673
Rice,Andhra Pradesh,ANANTAPUR,2001,Kharif,32878.0,77.09,75.18,38.06,24.89,77.73,5.48,259.65,38.97,2.908
Blackgram,Andhra Pradesh,ANANTAPUR,2001,Kharif,487.0,26.41,92.52,30.92,31.58,65.53,8.5,127.3,20.88,0.361
Maize,Andhra Pradesh,ANANTAPUR,2001,Rabi,447.0,44.19,71.71,29.0,22.33,58.72,6.59,87.14,13.18,6.472
Rice,Andhra Pradesh,ANANTAPUR,2001,Rabi,38119.0,66.68,52.09,41.46,26.5,70.78,5.68,198.45,28.35,2.857
Blackgram,Andhra Pradesh,ANANTAPUR,2001,Rabi,127.0,51.99,76.63,19.0,19.75,59.02,6.54,74.98,21.29,0.677
Banana,Andhra Pradesh,ANANTAPUR,2001,Whole Year,1582.0,57.22,67.2,53.36,30.89,73.22,5.13,105.8,20.8,0.292
Coconut,Andhra Pradesh,ANANTAPUR,2001,Whole Year,851.0,28.5,24.72,43.7,26.92,81.91,6.19,101.96,27.89,3588.367
Maize,Andhra Pradesh,ANANTAPUR,2002,Kharif,3541.0,42.43,76.7,28.44,19.18,65.76,5.51,104.25,25.74,0.969
Rice,Andhra Pradesh,ANANTAPUR,2002,Kharif,29066.0,85.18,69.53,48.44,27.45,81.2,4.5,202.64,26.72,2.282
Blackgram,Andhra Pradesh,ANANTAPUR,2002,Kharif,32.0,68.47,76.31,31.69,28.45,64.32,6.68,122.77,28.95,0.062
Maize,Andhra Pradesh,ANANTAPUR,2002,Rabi,1288.0,71.64,38.55,30.58,27.99,62.42,6.63,106.96,24.97,6.936
Rice,Andhra Pradesh,ANANTAPUR,2002,Rabi,10960.0,76.06,28.63,47.08,13.52,69.29,7.43,200.99,24.32,1.867
Blackgram,Andhra Pradesh,ANANTAPUR,2002,Rabi,408.0,21.07,99.65,29.78,32.02,68.49,6.8,63.55,21.14,0.578
Banana,Andhra Pradesh,ANANTAPUR,2002,Whole Year,19.0,72.43,96.34,51.08,28.0,75.0,5.97,131.06,21.76,52.947
Coconut,Andhra Pradesh,ANANTAPUR,2002,Whole Year,869.0,10.0,16.08,39.0,31.24,80.6,6.4,228.39,32.93,4247.582
Grapes,Andhra Pradesh,ANANTAPUR,2002,Whole Year,111.0,19.04,109.56,168.57,40.0,79.29,6.81,97.3,26.0,18.694
Mango,Andhra Pradesh,ANANTAPUR,2002,Whole Year,3968.0,25.05,49.31,35.62,28.55,50.58,6.53,119.35,22.69,6.597
Orange,Andhra Pradesh,ANANTAPUR,2002,Whole Year,13767.0,17.18,16.25,25.7,14.23,80.38,5.77,123.22,28.11,8.175
Papaya,Andhra Pradesh,ANANTAPUR,2002,Whole Year,1544.0,58.71,69.19,53.36,40.0,86.37,6.21,68.16,14.82,130.446
Maize,Andhra Pradesh,ANANTAPUR,2003,Kharif,6246.0,90.27,56.79,25.71,29.71,63.04,6.19,164.05,22.9,1.716
Rice,Andhra Pradesh,ANANTAPUR,2003,Kharif,17515.0,49.71,63.28,46.86,27.86,78.03,5.45,212.14,32.75,2.563
Blackgram,Andhra Pradesh,ANANTAPUR,2003,Kharif,82.0,30.87,70.36,41.55,24.57,70.95,7.19,122.21,25.82,0.622
Maize,Andhra Pradesh,ANANTAPUR,2003,Rabi,1212.0,86.02,48.13,36.28,21.63,54.57,6.05,84.7,27.26,5.6
Rice,Andhra Pradesh,ANANTAPUR,2003,Rabi,10826.0,55.42,35.56,39.49,23.09,75.51,8.5,174.37,34.91,2.352
Banana,Andhra Pradesh,ANANTAPUR,2003,Whole Year,36.0,86.06,86.78,54.57,29.13,67.24,5.7,132.6,23.52,36.167
Coconut,Andhra Pradesh,ANANTAPUR,2003,Whole Year,839.0,28.83,25.25,44.98,32.14,88.64,6.53,218.41,37.18,3916.362
Grapes,Andhra Pradesh,ANANTAPUR,2003,Whole Year,118.0,33.31,114.25,169.33,10.42,75.65,6.62,101.75,32.91,17.356
Mango,Andhra Pradesh,ANANTAPUR,2003,Whole Year,3935.0,25.58,37.95,42.51,30.58,55.92,5.47,120.75,22.07,14.825
Orange,Andhra Pradesh,ANANTAPUR,2003,Whole Year,13441.0,22.56,28.52,29.75,29.26,84.53,5.31,125.53,26.36,16.713
Papaya,Andhra Pradesh,ANANTAPUR,2003,Whole Year,1381.0,74.14,71.56,54.72,37.79,85.11,7.01,20.0,13.39,43.474
Maize,Andhra Pradesh,ANANTAPUR,2004,Kharif,3495.0,72.85,68.24,26.72,28.32,79.46,6.33,157.7,29.33,2.87
Rice,Andhra Pradesh,ANANTAPUR,2004,Kharif,24335.0,68.75,72.61,32.95,23.05,77.75,6.57,234.74,25.08,3.495
Blackgram,Andhra Pradesh,ANANTAPUR,2004,Kharif,76.0,83.14,93.53,24.77,31.25,63.25,5.94,121.43,18.96,0.487
Maize,Andhra Pradesh,ANANTAPUR,2004,Rabi,3572.0,55.2,61.28,32.2,19.35,66.95,6.02,101.01,24.0,7.229
Rice,Andhra Pradesh,ANANTAPUR,2004,Rabi,9240.0,66.69,68.0,42.77,29.64,75.53,6.51,226.06,38.91,2.34
Banana,Andhra Pradesh,ANANTAPUR,2004,Whole Year,324.0,98.76,76.43,43.94,28.33,78.14,6.12,123.82,23.4,52.151
Coconut,Andhra Pradesh,ANANTAPUR,2004,Whole Year,837.0,48.89,41.43,40.91,29.33,85.48,5.85,87.15,19.9,7662.306
Maize,Andhra Pradesh,ANANTAPUR,2005,Kharif,5958.0,95.76,61.73,33.31,28.63,76.79,5.75,135.8,29.85,3.615
Rice,Andhra Pradesh,ANANTAPUR,2005,Kharif,25008.0,72.22,56.82,41.72,25.27,78.8,6.11,230.61,31.66,2.798
Blackgram,Andhra Pradesh,ANANTAPUR,2005,Kharif,69.0,58.97,67.21,37.53,31.17,68.71,7.1,112.87,16.0,0.348
Maize,Andhra Pradesh,ANANTAPUR,2005,Rabi,1435.0,74.51,73.54,25.49,24.8,58.61,5.72,107.49,22.23,7.471
Rice,Andhra Pradesh,ANANTAPUR,2005,Rabi,23142.0,54.8,60.73,44.07,23.84,73.02,4.91,223.02,33.13,2.402
Blackgram,Andhra Pradesh,ANANTAPUR,2005,Rabi,11.0,50.16,75.24,30.98,25.5,61.71,6.75,80.43,23.29,0.636
Banana,Andhra Pradesh,ANANTAPUR,2005,Whole Year,303.0,37.49,90.76,54.85,28.45,71.09,5.87,150.13,29.9,53.568
Coconut,Andhra Pradesh,ANANTAPUR,2005,Whole Year,836.0,17.51,6.97,35.59,30.67,77.92,6.05,124.54,21.93,4017.933
Maize,Andhra Pradesh,ANANTAPUR,2006,Kharif,4877.0,85.39,48.43,17.82,23.03,81.21,4.65,127.01,22.3,4.138
Rice,Andhra Pradesh,ANANTAPUR,2006,Kharif,22349.0,66.31,62.78,49.62,27.43,80.46,4.5,282.39,30.65,3.017
Blackgram,Andhra Pradesh,ANANTAPUR,2006,Kharif,69.0,41.38,80.25,28.53,24.36,67.01,7.12,109.57,19.31,0.377
Maize,Andhra Pradesh,ANANTAPUR,2006,Rabi,3120.0,65.98,85.82,33.98,23.68,83.31,5.92,69.0,27.09,7.577
Rice,Andhra Pradesh,ANANTAPUR,2006,Rabi,10846.0,113.12,66.3,38.7,28.4,72.05,5.91,245.33,25.05,2.948
Blackgram,Andhra Pradesh,ANANTAPUR,2006,Rabi,24.0,41.03,65.86,29.53,28.69,60.34,6.93,75.69,13.35,0.792
Banana,Andhra Pradesh,ANANTAPUR,2006,Whole Year,289.0,68.87,97.71,60.63,30.57,70.52,6.39,126.61,17.88,48.931
Coconut,Andhra Pradesh,ANANTAPUR,2006,Whole Year,790.0,26.36,35.3,38.34,33.26,91.28,5.11,183.62,30.31,8106.425
Maize,Andhra Pradesh,ANANTAPUR,2007,Kharif,7000.0,49.5,62.5,26.03,24.83,79.77,6.09,135.96,19.26,4.571
Rice,Andhra Pradesh,ANANTAPUR,2007,Kharif,30000.0,65.07,67.57,37.38,31.02,79.34,6.34,217.42,28.03,3.167
Maize,Andhra Pradesh,ANANTAPUR,2007,Rabi,6000.0,70.17,59.34,26.57,32.55,43.68,6.86,125.24,16.14,8.0
Rice,Andhra Pradesh,ANANTAPUR,2007,Rabi,14000.0,72.43,64.45,45.05,22.62,73.45,7.59,203.11,25.54,2.643
Maize,Andhra Pradesh,ANANTAPUR,2008,Kharif,6041.0,72.77,50.28,27.01,22.92,53.96,6.72,131.06,20.84,3.459
Rice,Andhra Pradesh,ANANTAPUR,2008,Kharif,30306.0,82.28,47.19,44.38,23.66,82.58,6.36,289.98,45.25,3.122
Maize,Andhra Pradesh,ANANTAPUR,2008,Rabi,3658.0,56.38,63.98,29.99,21.99,70.46,5.89,129.29,26.14,8.83
Rice,Andhra Pradesh,ANANTAPUR,2008,Rabi,18416.0,76.96,44.95,39.74,25.24,76.07,7.18,133.45,20.69,2.705
Banana,Andhra Pradesh,ANANTAPUR,2008,Whole Year,3603.0,93.51,88.02,41.44,29.62,72.33,6.73,108.88,22.83,44.668
Coconut,Andhra Pradesh,ANANTAPUR,2008,Whole Year,786.0,37.41,36.62,38.5,30.79,84.98,6.67,111.73,28.31,9085.832
Maize,Andhra Pradesh,ANANTAPUR,2009,Kharif,8852.0,61.66,38.94,26.85,22.61,74.06,5.62,150.77,22.11,4.962
Rice,Andhra Pradesh,ANANTAPUR,2009,Kharif,32226.0,85.27,66.86,45.59,30.2,74.31,5.7,300.0,34.04,3.15
Blackgram,Andhra Pradesh,ANANTAPUR,2009,Kharif,30.0,10.0,52.39,28.67,26.84,74.23,6.79,110.33,19.6,0.3
Maize,Andhra Pradesh,ANANTAPUR,2009,Rabi,4615.0,63.43,46.42,36.57,27.29,57.62,4.99,89.19,23.64,7.31
Rice,Andhra Pradesh,ANANTAPUR,2009,Rabi,19428.0,95.99,46.43,48.64,17.3,71.47,7.76,200.1,33.18,2.414
Blackgram,Andhra Pradesh,ANANTAPUR,2009,Rabi,17.0,67.84,76.14,19.52,24.31,62.72,7.13,60.15,17.86,0.765
Banana,Andhra Pradesh,ANANTAPUR,2009,Whole Year,5010.0,64.9,81.65,57.28,29.97,76.43,6.0,133.11,22.76,53.09
Coconut,Andhra Pradesh,ANANTAPUR,2009,Whole Year,725.0,10.0,26.93,35.7,29.91,78.81,6.15,180.26,30.41,5858.876
Maize,Andhra Pradesh,ANANTAPUR,2010,Kharif,10726.0,53.66,75.7,18.44,27.98,72.77,6.32,154.03,23.7,4.771
Rice,Andhra Pradesh,ANANTAPUR,2010,Kharif,34973.0,21.14,64.48,41.78,26.55,76.95,4.5,233.63,28.03,2.917
Blackgram,Andhra Pradesh,ANANTAPUR,2010,Kharif,14.0,47.28,92.78,26.96,29.17,69.1,7.71,110.32,22.69,0.429
Maize,Andhra Pradesh,ANANTAPUR,2010,Rabi,4750.0,76.28,59.73,26.2,25.16,62.16,6.27,79.81,18.78,9.117
Rice,Andhra Pradesh,ANANTAPUR,2010,Rabi,24828.0,59.74,46.1,44.79,23.79,74.3,7.74,214.76,35.12,2.795
Blackgram,Andhra Pradesh,ANANTAPUR,2010,Rabi,559.0,33.65,80.87,25.74,24.92,61.43,7.07,71.29,26.04,0.535
Banana,Andhra Pradesh,ANANTAPUR,2010,Whole Year,4416.0,71.7,73.41,55.97,23.33,79.65,5.57,131.94,26.88,50.685
Maize,Andhra Pradesh,ANANTAPUR,2011,Kharif,25447.0,50.03,46.51,35.83,29.76,62.51,6.2,90.68,23.66,2.494
Rice,Andhra Pradesh,ANANTAPUR,2011,Kharif,37720.0,100.41,43.78,41.37,33.3,82.13,5.31,234.58,31.68,2.506
Blackgram,Andhra Pradesh,ANANTAPUR,2011,Kharif,32.0,41.8,51.18,28.33,32.84,66.18,6.22,121.84,25.37,0.531
Maize,Andhra Pradesh,ANANTAPUR,2011,Rabi,6208.0,53.68,50.83,35.65,19.74,67.02,6.11,81.12,22.51,7.759
Rice,Andhra Pradesh,ANANTAPUR,2011,Rabi,10948.0,29.73,47.85,42.67,19.56,73.01,5.7,300.0,26.43,2.333
Blackgram,Andhra Pradesh,ANANTAPUR,2011,Rabi,446.0,41.34,46.79,32.96,35.62,57.24,6.89,79.92,19.33,0.702
Banana,Andhra Pradesh,ANANTAPUR,2011,Whole Year,8000.0,91.48,85.35,49.09,28.52,74.71,5.91,139.26,20.54,63.147
Coconut,Andhra Pradesh,ANANTAPUR,2011,Whole Year,895.0,56.84,52.47,38.02,26.66,85.69,6.04,197.81,30.79,8005.944
Grapes,Andhra Pradesh,ANANTAPUR,2012,Kharif,238.0,10.0,110.23,166.18,10.0,79.6,5.58,120.28,26.23,31.958
Maize,Andhra Pradesh,ANANTAPUR,2012,Kharif,22039.0,69.93,42.38,29.02,27.3,59.7,6.61,105.06,19.57,2.882
Mango,Andhra Pradesh,ANANTAPUR,2012,Kharif,6276.0,33.96,52.87,43.52,40.0,48.49,6.2,135.09,17.19,9.178
Papaya,Andhra Pradesh,ANANTAPUR,2012,Kharif,447.0,35.36,47.62,53.11,28.96,93.91,6.49,220.52,27.81,38.472
Rice,Andhra Pradesh,ANANTAPUR,2012,Kharif,22056.0,71.23,44.61,47.91,25.2,82.39,7.74,264.71,23.01,2.661
Blackgram,Andhra Pradesh,ANANTAPUR,2012,Kharif,31.0,43.42,56.44,29.09,35.85,57.18,6.67,122.16,20.6,0.935
Maize,Andhra Pradesh,ANANTAPUR,2012,Rabi,7070.0,47.51,62.62,24.4,22.73,61.55,6.57,81.71,20.13,7.086
Rice,Andhra Pradesh,ANANTAPUR,2012,Rabi,6998.0,72.88,57.82,46.93,18.29,68.32,7.23,192.07,29.23,2.539
Blackgram,Andhra Pradesh,ANANTAPUR,2012,Rabi,153.0,46.96,82.54,28.59,20.85,63.35,7.56,78.35,18.39,1.02
Coconut,Andhra Pradesh,ANANTAPUR,2012,Whole Year,646.0,10.0,27.83,39.27,30.06,81.01,6.43,190.63,30.14,8623.839
Grapes,Andhra Pradesh,ANANTAPUR,2013,Kharif,247.0,54.71,107.05,159.1,24.72,81.37,5.58,112.65,17.77,22.85
Maize,Andhra Pradesh,ANANTAPUR,2013,Kharif,27087.0,64.56,47.03,28.81,26.42,71.83,6.46,111.44,24.09,1.965
Mango,Andhra Pradesh,ANANTAPUR,2013,Kharif,8711.0,10.0,49.01,30.52,35.99,58.04,6.2,139.97,21.95,8.57
Papaya,Andhra Pradesh,ANANTAPUR,2013,Kharif,230.0,64.72,65.73,47.64,18.64,85.39,6.37,213.72,40.46,97.47
Rice,Andhra Pradesh,ANANTAPUR,2013,Kharif,28114.0,65.59,74.11,41.95,27.73,74.21,7.05,189.46,29.54,2.112
Blackgram,Andhra Pradesh,ANANTAPUR,2013,Kharif,48.0,21.33,55.93,18.31,29.8,64.1,5.96,123.64,21.74,0.938
Maize,Andhra Pradesh,ANANTAPUR,2013,Rabi,7777.0,76.31,62.98,28.32,26.02,55.18,6.11,93.43,18.99,7.454
Rice,Andhra Pradesh,ANANTAPUR,2013,Rabi,12283.0,77.18,17.86,49.47,15.14,72.27,7.27,211.69,23.87,2.325
Blackgram,Andhra Pradesh,ANANTAPUR,2013,Rabi,4.0,10.0,84.51,27.45,24.29,55.02,6.13,79.73,23.77,0.75
Banana,Andhra Pradesh,ANANTAPUR,2013,Whole Year,8661.0,108.17,70.59,61.34,27.89,71.87,5.69,121.03,19.54,55.869
